version,split,modality,position,zero_count,sample_count
aligned,train,text,0,0,3395
aligned,train,text,1,0,3395
aligned,train,text,2,0,3395
aligned,train,text,3,0,3395
aligned,train,text,4,0,3395
aligned,train,text,5,0,3395
aligned,train,text,6,0,3395
aligned,train,text,7,0,3395
aligned,train,text,8,0,3395
aligned,train,text,9,0,3395
aligned,train,text,10,0,3395
aligned,train,text,11,0,3395
aligned,train,text,12,0,3395
aligned,train,text,13,0,3395
aligned,train,text,14,0,3395
aligned,train,text,15,0,3395
aligned,train,text,16,0,3395
aligned,train,text,17,0,3395
aligned,train,text,18,0,3395
aligned,train,text,19,0,3395
aligned,train,text,20,0,3395
aligned,train,text,21,0,3395
aligned,train,text,22,0,3395
aligned,train,text,23,0,3395
aligned,train,text,24,0,3395
aligned,train,text,25,0,3395
aligned,train,text,26,0,3395
aligned,train,text,27,0,3395
aligned,train,text,28,0,3395
aligned,train,text,29,0,3395
aligned,train,text,30,0,3395
aligned,train,text,31,0,3395
aligned,train,text,32,0,3395
aligned,train,text,33,0,3395
aligned,train,text,34,0,3395
aligned,train,text,35,0,3395
aligned,train,text,36,0,3395
aligned,train,text,37,0,3395
aligned,train,text,38,0,3395
aligned,train,text,39,0,3395
aligned,train,text,40,0,3395
aligned,train,text,41,0,3395
aligned,train,text,42,0,3395
aligned,train,text,43,0,3395
aligned,train,text,44,0,3395
aligned,train,text,45,0,3395
aligned,train,text,46,0,3395
aligned,train,text,47,0,3395
aligned,train,text,48,0,3395
aligned,train,text,49,0,3395
aligned,train,audio,0,3395,3395
aligned,train,audio,1,4,3395
aligned,train,audio,2,20,3395
aligned,train,audio,3,26,3395
aligned,train,audio,4,38,3395
aligned,train,audio,5,72,3395
aligned,train,audio,6,115,3395
aligned,train,audio,7,185,3395
aligned,train,audio,8,258,3395
aligned,train,audio,9,336,3395
aligned,train,audio,10,437,3395
aligned,train,audio,11,511,3395
aligned,train,audio,12,607,3395
aligned,train,audio,13,719,3395
aligned,train,audio,14,839,3395
aligned,train,audio,15,974,3395
aligned,train,audio,16,1107,3395
aligned,train,audio,17,1218,3395
aligned,train,audio,18,1337,3395
aligned,train,audio,19,1466,3395
aligned,train,audio,20,1598,3395
aligned,train,audio,21,1702,3395
aligned,train,audio,22,1824,3395
aligned,train,audio,23,1928,3395
aligned,train,audio,24,2044,3395
aligned,train,audio,25,2138,3395
aligned,train,audio,26,2237,3395
aligned,train,audio,27,2318,3395
aligned,train,audio,28,2388,3395
aligned,train,audio,29,2466,3395
aligned,train,audio,30,2545,3395
aligned,train,audio,31,2598,3395
aligned,train,audio,32,2657,3395
aligned,train,audio,33,2705,3395
aligned,train,audio,34,2767,3395
aligned,train,audio,35,2814,3395
aligned,train,audio,36,2847,3395
aligned,train,audio,37,2883,3395
aligned,train,audio,38,2914,3395
aligned,train,audio,39,2957,3395
aligned,train,audio,40,2981,3395
aligned,train,audio,41,3002,3395
aligned,train,audio,42,3017,3395
aligned,train,audio,43,3043,3395
aligned,train,audio,44,3058,3395
aligned,train,audio,45,3079,3395
aligned,train,audio,46,3099,3395
aligned,train,audio,47,3123,3395
aligned,train,audio,48,3142,3395
aligned,train,audio,49,3395,3395
aligned,train,vision,0,3395,3395
aligned,train,vision,1,226,3395
aligned,train,vision,2,233,3395
aligned,train,vision,3,239,3395
aligned,train,vision,4,251,3395
aligned,train,vision,5,283,3395
aligned,train,vision,6,320,3395
aligned,train,vision,7,382,3395
aligned,train,vision,8,444,3395
aligned,train,vision,9,511,3395
aligned,train,vision,10,611,3395
aligned,train,vision,11,678,3395
aligned,train,vision,12,764,3395
aligned,train,vision,13,874,3395
aligned,train,vision,14,990,3395
aligned,train,vision,15,1110,3395
aligned,train,vision,16,1242,3395
aligned,train,vision,17,1338,3395
aligned,train,vision,18,1460,3395
aligned,train,vision,19,1575,3395
aligned,train,vision,20,1688,3395
aligned,train,vision,21,1786,3395
aligned,train,vision,22,1900,3395
aligned,train,vision,23,2003,3395
aligned,train,vision,24,2106,3395
aligned,train,vision,25,2189,3395
