version,split,modality,sample_count,total_zero_rows,record_type,category,run_location,length_bin,count
aligned,train,text,3395,0,overall,,,,0
aligned,train,text,3395,0,structure,NO_ZERO,,,3395
aligned,train,audio,3395,92933,overall,,,,92933
aligned,train,audio,3395,92933,structure,PREFIX_AND_SUFFIX,,,3395
aligned,train,audio,3395,92933,run,,prefix,1,3391
aligned,train,audio,3395,92933,run,,prefix,11-20,2
aligned,train,audio,3395,92933,run,,prefix,6-10,1
aligned,train,audio,3395,92933,run,,prefix,>20,1
aligned,train,audio,3395,92933,run,,suffix,1,253
aligned,train,audio,3395,92933,run,,suffix,11-20,491
aligned,train,audio,3395,92933,run,,suffix,2,19
aligned,train,audio,3395,92933,run,,suffix,3,24
aligned,train,audio,3395,92933,run,,suffix,4,20
aligned,train,audio,3395,92933,run,,suffix,5,21
aligned,train,audio,3395,92933,run,,suffix,6-10,101
aligned,train,audio,3395,92933,run,,suffix,>20,2466
aligned,train,vision,3395,97117,overall,,,,97117
aligned,train,vision,3395,97117,structure,ALL_ZERO,,,110
aligned,train,vision,3395,97117,structure,INTERNAL_ZERO_RUN,,,104
aligned,train,vision,3395,97117,structure,MULTIPLE_INTERNAL_RUNS,,,42
aligned,train,vision,3395,97117,structure,PREFIX_AND_SUFFIX,,,3139
aligned,train,vision,3395,97117,run,,internal,1,91
aligned,train,vision,3395,97117,run,,internal,11-20,8
aligned,train,vision,3395,97117,run,,internal,2,27
aligned,train,vision,3395,97117,run,,internal,3,21
aligned,train,vision,3395,97117,run,,internal,4,18
aligned,train,vision,3395,97117,run,,internal,5,15
aligned,train,vision,3395,97117,run,,internal,6-10,28
aligned,train,vision,3395,97117,run,,internal,>20,2
aligned,train,vision,3395,97117,run,,prefix,1,3169
aligned,train,vision,3395,97117,run,,prefix,11-20,26
aligned,train,vision,3395,97117,run,,prefix,2,20
aligned,train,vision,3395,97117,run,,prefix,3,9
aligned,train,vision,3395,97117,run,,prefix,4,8
aligned,train,vision,3395,97117,run,,prefix,5,13
aligned,train,vision,3395,97117,run,,prefix,6-10,27
aligned,train,vision,3395,97117,run,,prefix,>20,13
aligned,train,vision,3395,97117,run,,suffix,1,245
aligned,train,vision,3395,97117,run,,suffix,11-20,478
aligned,train,vision,3395,97117,run,,suffix,2,19
aligned,train,vision,3395,97117,run,,suffix,3,25
aligned,train,vision,3395,97117,run,,suffix,4,20
aligned,train,vision,3395,97117,run,,suffix,5,20
aligned,train,vision,3395,97117,run,,suffix,6-10,99
aligned,train,vision,3395,97117,run,,suffix,>20,2379
aligned,train,vision,3395,97117,run,,whole,>20,110
aligned,valid,text,728,0,overall,,,,0
aligned,valid,text,728,0,structure,NO_ZERO,,,728
aligned,valid,audio,728,19274,overall,,,,19274
aligned,valid,audio,728,19274,structure,PREFIX_AND_SUFFIX,,,728
aligned,valid,audio,728,19274,run,,prefix,1,727
aligned,valid,audio,728,19274,run,,prefix,>20,1
