configuration,block,status,completed_seeds,additional_fits_in_full_protocol,clean_macro_F1_mean,clean_macro_F1_seed_sd_ddof1,clean_MAE_mean,clean_MAE_seed_sd_ddof1,attempted96_macro_F1_mean,attempted96_macro_F1_seed_sd_ddof1,attempted96_MAE_mean,attempted96_MAE_seed_sd_ddof1
B-T-identity,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.59555765142992401,0.0032629108715427554,0.61392173212700252,0.0041327393728692093,0.58843763857308107,0.0064106524252318959,0.62623972458711963,0.0017792466086683457
B-T-zscore,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.59945172010148751,0.011986939223450234,0.64234456827046582,0.012294044712889285,0.58826655902376002,0.0097358267803054933,0.65681023270792371,0.013501039397261497
B-A-identity,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.30756484321420879,0.013329465583855662,0.81871091966585929,0.035900999588427247,0.30438831371814518,0.014098849983028239,0.82058866916554907,0.036215586082043581
B-A-zscore,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.36547564387407833,0.009693623980381887,0.8450225580143278,0.0069297445682205373,0.35784810458047228,0.0075582400754313451,0.85816139042102657,0.010337794963496152
B-V-identity,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.36604802397203073,0.010982679257840891,0.78837198915132511,0.0042375613227639483,0.36445981113720965,0.0090662847768195713,0.7911101322926114,0.0036631952872979733
B-V-zscore,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.38533629010462495,0.021955095951902672,0.77416646224366625,0.0074747397564659535,0.38117978011152798,0.019292185493555478,0.77749123931640474,0.0077742724702159066
B-CAT-identity,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.60183901967404341,0.0097907332518745484,0.67408870017128708,0.033511352730290773,0.59239274561114985,0.0088046492774292509,0.68345051166069126,0.032517362593547212
B-CAT-zscore,BASELINE,COMPLETE_3_SEEDS,17;29;43,3,0.6018501688585941,0.0039269476775812056,0.64262652939243914,0.031008933646416589,0.58621845087182167,0.0068505947889186888,0.65453882692282217,0.030107372312778609
LATE-identity,BASELINE,COMPLETE_3_SEEDS,17;29;43,0,0.5050572468921829,0.022250230101044457,0.67609886628372651,0.01080536346285803,,,,
LATE-zscore,BASELINE,COMPLETE_3_SEEDS,17;29;43,0,0.49869956221223238,0.032528272398383969,0.67363467562437096,0.0077481158949000038,,,,
PRIOR,BASELINE,COMPLETE_3_SEEDS,17;29;43,0,0.21138211382113822,0,0.76900183628466756,0,,,,
C0-zscore,MECHANISM,COMPLETE_3_SEEDS,17;29;43,3,0.58870496748739065,0.011333324816959197,0.62666690326727548,0.012628351946227504,0.58423724600230298,0.0036716751927185673,0.6421897893918348,0.0093769510705045515
R0-zscore,MECHANISM,COMPLETE_3_SEEDS,17;29;43,3,0.58996819339134188,0.011420475121784759,0.62976993808616422,0.0080912947251493995,0.5816423182624767,0.0032299169546700546,0.64193262171073806,0.0055676521041441484
R1-common_preselected,DEFERRED,NOT_RUN,,3,,,,,,,,
R2-common_preselected,DEFERRED,NOT_RUN,,3,,,,,,,,
R1-CAP-common_preselected,DEFERRED,NOT_RUN,,3,,,,,,,,
