configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,completed_seeds,macro_F1_mean,macro_F1_seed_sd_ddof1,MAE_mean,MAE_seed_sd_ddof1
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:front,T,0.1,front,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:middle,T,0.1,middle,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:back,T,0.1,back,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:random,T,0.1,random,3,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:front,T,0.3,front,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:middle,T,0.3,middle,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:back,T,0.3,back,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:random,T,0.3,random,3,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:front,T,0.5,front,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:middle,T,0.5,middle,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:back,T,0.5,back,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:random,T,0.5,random,3,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:front,T,0.7,front,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:middle,T,0.7,middle,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:back,T,0.7,back,1,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:random,T,0.7,random,3,728,728,1.0,0,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:front,A,0.1,front,1,724,728,0.9945054945054945,4,17;29;43,0.3060426365133548,0.019239893187058415,0.8192420759679764,0.03658969324478811
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:middle,A,0.1,middle,1,724,728,0.9945054945054945,4,17;29;43,0.2969823657033621,0.010263426211396368,0.8185576926568231,0.03610885159458368
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:back,A,0.1,back,1,724,728,0.9945054945054945,4,17;29;43,0.30435511599914383,0.014065811927594728,0.8197268086101565,0.036428009018812296
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:random,A,0.1,random,3,724,728,0.9945054945054945,4,17;29;43,0.3009328354643686,0.01723532622865561,0.8196218903796053,0.036158292842394434
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:front,A,0.3,front,1,724,728,0.9945054945054945,4,17;29;43,0.3011033129956346,0.018467207666340767,0.8222366909659277,0.038381214558874964
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:middle,A,0.3,middle,1,724,728,0.9945054945054945,4,17;29;43,0.30022070126449296,0.006869904576585005,0.8184854558240682,0.035116416105440494
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:back,A,0.3,back,1,724,728,0.9945054945054945,4,17;29;43,0.3079465240396309,0.021405105966088515,0.8211699476514728,0.035538535092687354
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:random,A,0.3,random,3,724,728,0.9945054945054945,4,17;29;43,0.3006185271723873,0.01433065057129658,0.8225963375785857,0.03688467270457805
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.5:front,A,0.5,front,1,724,728,0.9945054945054945,4,17;29;43,0.30064940224505216,0.022737649925327164,0.8246690225377554,0.038670967772653414
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.5:middle,A,0.5,middle,1,724,728,0.9945054945054945,4,17;29;43,0.2988451215638541,0.007772519258216766,0.8198433246965872,0.03569986680625045
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.5:back,A,0.5,back,1,724,728,0.9945054945054945,4,17;29;43,0.30508644179567507,0.015991984628873007,0.822773024216096,0.033386009662907376
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.5:random,A,0.5,random,3,724,728,0.9945054945054945,4,17;29;43,0.30590460706689515,0.015274138035370047,0.8200246733960497,0.03670833345626914
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:front,A,0.7,front,1,718,728,0.9862637362637363,10,17;29;43,0.2965091609376749,0.027611724889468604,0.8335389737619749,0.04104471165545466
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:middle,A,0.7,middle,1,718,728,0.9862637362637363,10,17;29;43,0.29788174116058813,0.016695380478102914,0.8247028724394906,0.037907020769998925
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.7:back,A,0.7,back,1,718,728,0.9862637362637363,10,17;29;43,0.29781215705524816,0.005995457528285778,0.8251657816753598,0.03387083318181916
