configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,17,0.992445054945055,0.30110927935537807,0.7910874688285874
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,29,0.992445054945055,0.31609634173228063,0.8628419639901819
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,43,0.992445054945055,0.2862346011162883,0.8137184348920145
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,17,0.9625686813186813,0.30156932305172507,0.7911888217208248
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,29,0.9625686813186813,0.3170953208258584,0.8624426228287174
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,43,0.9625686813186813,0.286557631165917,0.8133828721274168
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,17,1.0,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,29,1.0,0.32129685632138966,0.8579859431259907
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,43,1.0,0.29467816271417746,0.8105619313658451
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,17,0.992445054945055,0.3012732946731088,0.7914058533924617
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,29,0.992445054945055,0.3149286377996468,0.8626232807592771
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TA,16,43,0.992445054945055,0.2860416282785307,0.8135064494476681
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,17,0.9625686813186813,0.3067195106070592,0.7875848845057419
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,TV,16,29,0.9625686813186813,0.32129685632138966,0.8579859431259907
