configuration,complete,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE,macro_F1_mean,MAE_mean
M1,True,modality,A,16,17,0.992445054945055,0.6038168722383674,0.6064332995516225,0.6015971416580186,0.6004386221144865
M1,True,modality,A,16,29,0.992445054945055,0.60411370950119,0.6007722056797037,0.6015971416580186,0.6004386221144865
M1,True,modality,A,16,43,0.992445054945055,0.5968608432344984,0.5941103611121334,0.6015971416580186,0.6004386221144865
M1,True,modality,AV,16,17,0.9625686813186813,0.605066174584544,0.606322311505143,0.6018170315849574,0.6001250290357216
M1,True,modality,AV,16,29,0.9625686813186813,0.6038068968093319,0.6001562910569425,0.6018170315849574,0.6001250290357216
M1,True,modality,AV,16,43,0.9625686813186813,0.5965780233609961,0.5938964845450795,0.6018170315849574,0.6001250290357216
M1,True,modality,T,16,17,1.0,0.5821081875067626,0.628993961661853,0.5792274792614663,0.6287007367242791
M1,True,modality,T,16,29,1.0,0.5820636950003899,0.6330041915149068,0.5792274792614663,0.6287007367242791
M1,True,modality,T,16,43,1.0,0.5735105552772465,0.6241040569960775,0.5792274792614663,0.6287007367242791
M1,True,modality,TA,16,17,0.992445054945055,0.5841079352299215,0.628608505059021,0.5794262938342339,0.6301112335667844
M1,True,modality,TA,16,29,0.992445054945055,0.5812809334396257,0.6352722788100696,0.5794262938342339,0.6301112335667844
M1,True,modality,TA,16,43,0.992445054945055,0.5728900128331544,0.6264529168312627,0.5794262938342339,0.6301112335667844
M1,True,modality,TV,16,17,0.9625686813186813,0.582246808144032,0.6262295599875097,0.5796977991201283,0.626685934126331
M1,True,modality,TV,16,29,0.9625686813186813,0.5845094635119334,0.6315391044147777,0.5796977991201283,0.626685934126331
M1,True,modality,TV,16,43,0.9625686813186813,0.5723371257044194,0.6222891379767057,0.5796977991201283,0.626685934126331
M1,True,modality,V,16,17,0.9625686813186813,0.6022122697998731,0.6056173557075247,0.6015596989750139,0.5985181904859727
M1,True,modality,V,16,29,0.9625686813186813,0.6011213899257243,0.5975657560750404,0.6015596989750139,0.5985181904859727
M1,True,modality,V,16,43,0.9625686813186813,0.6013454371994447,0.5923714596753528,0.6015596989750139,0.5985181904859727
M1,True,rate,0.1,24,17,0.9809981684981685,0.6007183713112414,0.6082080504729563,0.5994099449709211,0.6013394728907548
M1,True,rate,0.1,24,29,0.9809981684981685,0.5984796065534296,0.6005876482460349,0.5994099449709211,0.6013394728907548
M1,True,rate,0.1,24,43,0.9809981684981685,0.5990318570480925,0.5952227199532734,0.5994099449709211,0.6013394728907548
M1,True,rate,0.3,24,17,0.9809981684981685,0.5962102699374456,0.6127558070633307,0.594939569219677,0.6075844739262832
M1,True,rate,0.3,24,29,0.9809981684981685,0.5992214811621331,0.6080018223604232,0.594939569219677,0.6075844739262832
M1,True,rate,0.3,24,43,0.9809981684981685,0.5893869565594523,0.6019957923550959,0.594939569219677,0.6075844739262832
M1,True,rate,0.5,24,17,0.9809981684981685,0.5878093947798189,0.6163698644091761,0.5850851274993731,0.6149322714130349
M1,True,rate,0.5,24,29,0.9809981684981685,0.588499561035543,0.6184051272545937,0.5850851274993731,0.6149322714130349
M1,True,rate,0.5,24,43,0.9809981684981685,0.5789464266827576,0.6100218225753348,0.5850851274993731,0.6149322714130349
M1,True,rate,0.7,24,17,0.9720695970695972,0.5883007956404948,0.6308029403696528,0.5827823212659077,0.6325302791389772
M1,True,rate,0.7,24,29,0.9720695970695972,0.5850634100410245,0.6385452871732419,0.5827823212659077,0.6325302791389772
