configuration,seed,clean_disagreement_count,clean_total_count,clean_fraction,attempted96_equal_condition_fraction
M1,17,154,728,0.21153846153846154,0.23094570360195357
M1,29,192,728,0.26373626373626374,0.28383985805860806
M1,43,177,728,0.24313186813186813,0.2643181471306471
M2,17,198,728,0.27197802197802196,0.29510073260073266
M2,29,230,728,0.3159340659340659,0.3355463980463982
M2,43,237,728,0.32554945054945056,0.352559333028083
M3,17,138,728,0.18956043956043955,0.20927293192918187
M3,29,223,728,0.30631868131868134,0.32467185592185593
M3,43,177,728,0.24313186813186813,0.2550223214285711
M4,17,135,728,0.18543956043956045,0.2098929716117216
M4,29,178,728,0.2445054945054945,0.2656965430402929
M4,43,174,728,0.23901098901098902,0.25413518772893756
W0-bN-m04,17,173,728,0.23763736263736263,0.26047867063492075
W0-bN-m04,29,150,728,0.20604395604395603,0.21845905830280832
W0-bN-m04,43,139,728,0.19093406593406592,0.20624427655677655
W0-bN-m02,17,185,728,0.2541208791208791,0.2764756944444445
W0-bN-m02,29,175,728,0.2403846153846154,0.24849282661782657
W0-bN-m02,43,161,728,0.22115384615384615,0.23752766330891317
W0-bN-zero,17,196,728,0.2692307692307692,0.2934838598901101
W0-bN-zero,29,197,728,0.2706043956043956,0.28307673229548247
W0-bN-zero,43,185,728,0.2541208791208791,0.27336595695970695
W0-bN-p02,17,217,728,0.2980769230769231,0.31691182081807073
W0-bN-p02,29,228,728,0.3131868131868132,0.32536820818070805
W0-bN-p02,43,221,728,0.30357142857142855,0.31855254120879134
W0-bN-p04,17,237,728,0.32554945054945056,0.33911401098901095
W0-bN-p04,29,263,728,0.36126373626373626,0.37054525335775335
W0-bN-p04,43,256,728,0.3516483516483517,0.36554201007326004
W1-bN-m04,17,175,728,0.2403846153846154,0.26092700702075694
W1-bN-m04,29,119,728,0.16346153846153846,0.19402472527472536
W1-bN-m04,43,141,728,0.1936813186813187,0.21595028235653244
W1-bN-m02,17,189,728,0.25961538461538464,0.2789653922466422
W1-bN-m02,29,142,728,0.19505494505494506,0.22416819291819293
W1-bN-m02,43,165,728,0.22664835164835165,0.24553571428571416
W1-bN-zero,17,199,728,0.2733516483516483,0.29761427808302826
W1-bN-zero,29,171,728,0.2348901098901099,0.26291113400488386
W1-bN-zero,43,192,728,0.26373626373626374,0.28145032051282043
W1-bN-p02,17,220,728,0.3021978021978022,0.32245879120879123
W1-bN-p02,29,211,728,0.28983516483516486,0.31224721459096466
W1-bN-p02,43,224,728,0.3076923076923077,0.32268772893772896
W1-bN-p04,17,242,728,0.3324175824175824,0.3464400183150183
W1-bN-p04,29,253,728,0.3475274725274725,0.36433054792429775
W1-bN-p04,43,253,728,0.3475274725274725,0.36468826312576286
W2-bN-m04,17,124,728,0.17032967032967034,0.19077190170940173
W2-bN-m04,29,100,728,0.13736263736263737,0.15691296550671555
W2-bN-m04,43,102,728,0.1401098901098901,0.15485252594627597
W2-bN-m02,17,141,728,0.1936813186813187,0.21529685592185588
W2-bN-m02,29,124,728,0.17032967032967034,0.18998015873015872
W2-bN-m02,43,127,728,0.17445054945054944,0.18950320512820515
W2-bN-zero,17,168,728,0.23076923076923078,0.24769631410256418
W2-bN-zero,29,159,728,0.2184065934065934,0.23423191391941386
W2-bN-zero,43,158,728,0.21703296703296704,0.23233840811965797
W2-bN-p02,17,194,728,0.2664835164835165,0.28273809523809545
W2-bN-p02,29,196,728,0.2692307692307692,0.2820655906593407
W2-bN-p02,43,202,728,0.2774725274725275,0.2884758470695971
W2-bN-p04,17,225,728,0.3090659340659341,0.3259930173992674
W2-bN-p04,29,225,728,0.3090659340659341,0.32787221459096483
W2-bN-p04,43,240,728,0.32967032967032966,0.34531440781440775
